ID,Unit,Lesson,Concept,Question,A,B,C,D,Answer,Explanation,Source
Q039,U2,5,การติดตามสารน้ำด้วยน้ำหนัก,ผลลัพธ์หรือเป้าหมายใดสัมพันธ์กับ “การติดตามสารน้ำด้วยน้ำหนัก” โดยตรงที่สุด?,ลด unplanned dialysis start และเพิ่มความพร้อมด้านกาย–จิตสังคม,ตรวจพบ fluid retention ได้เร็วและลดโอกาสเกิด pulmonary congestion,ลด adverse drug event และการทำงานของไตแย่ลงจากยา,ลดความเสี่ยงภาวะโพแทสเซียมผิดปกติที่มีผลต่อหัวใจ,B,หลักสำคัญ: น้ำหนักตัวที่ติดตามสม่ำเสมอเป็นข้อมูลที่ช่วยจับภาวะน้ำเกินได้เร็วกว่ารอให้บวมชัด การปฏิบัติที่สอดคล้อง: ให้ชั่งน้ำหนักเวลาใกล้เคียงกันและสังเกตแนวโน้มร่วมกับอาการบวม/หอบและปริมาณปัสสาวะ เป้าหมาย: ตรวจพบ fluid retention ได้เร็วและลดโอกาสเกิด pulmonary congestion,Self-Management CKD fluid section
Q040,U2,6,การประเมินโพแทสเซียม,ข้อใดอธิบาย “การประเมินโพแทสเซียม” ได้ถูกต้องที่สุด?,การจัดการโพแทสเซียมต้องดูผลเลือด ยาที่ใช้ อาหาร และอาการเตือนร่วมกัน ไม่ควรจำกัดแบบเหมารวมทุกคน,ความปลอดภัยด้านยาต้องทบทวนยาทั้งหมด รวม OTC ยาชุด สมุนไพร/อาหารเสริม และปรับขนาดยาตามการทำงานของไต,การเตรียม RRT เป็นกระบวนการก่อนเกิดวิกฤต ครอบคลุมข้อมูลทางเลือก การตัดสินใจ การเตรียม access/ส่งต่อปลูกถ่าย และการเตรียมครอบครัว,เป้าหมายสำคัญคือคัดกรอง/ส่งต่อ ชะลอไตเสื่อม ป้องกันภาวะแทรกซ้อน ลดความเสี่ยงหัวใจและหลอดเลือด และเตรียม RRT อย่างเหมาะสม,A,หลักสำคัญ: การจัดการโพแทสเซียมต้องดูผลเลือด ยาที่ใช้ อาหาร และอาการเตือนร่วมกัน ไม่ควรจำกัดแบบเหมารวมทุกคน การปฏิบัติที่สอดคล้อง: ทบทวน ACEI/ARB/ยาที่มีผลต่อโพแทสเซียมและสอนอาการเตือนที่ต้องมาพบแพทย์ เป้าหมาย: ลดความเสี่ยงภาวะโพแทสเซียมผิดปกติที่มีผลต่อหัวใจ,Self-Management CKD potassium section
Q041,U2,6,การประเมินโพแทสเซียม,การปฏิบัติใดสอดคล้องกับ “การประเมินโพแทสเซียม” มากที่สุด?,ถามยาที่ซื้อเองทุกครั้ง เน้นหลีกเลี่ยง nephrotoxin โดยเฉพาะ NSAIDs และประสานแพทย์/เภสัชกร,วางแผนดูแลตามระยะโรคโดยไม่รอจนเกิดภาวะฉุกเฉินหรือมีข้อบ่งชี้ฟอกไตแล้ว,ทบทวน ACEI/ARB/ยาที่มีผลต่อโพแทสเซียมและสอนอาการเตือนที่ต้องมาพบแพทย์,เริ่ม education และ shared planning ตั้งแต่ CKD ระยะก้าวหน้า ไม่รอ emergency start,C,หลักสำคัญ: การจัดการโพแทสเซียมต้องดูผลเลือด ยาที่ใช้ อาหาร และอาการเตือนร่วมกัน ไม่ควรจำกัดแบบเหมารวมทุกคน การปฏิบัติที่สอดคล้อง: ทบทวน ACEI/ARB/ยาที่มีผลต่อโพแทสเซียมและสอนอาการเตือนที่ต้องมาพบแพทย์ เป้าหมาย: ลดความเสี่ยงภาวะโพแทสเซียมผิดปกติที่มีผลต่อหัวใจ,Self-Management CKD potassium section
Q042,U2,6,การประเมินโพแทสเซียม,ผลลัพธ์หรือเป้าหมายใดสัมพันธ์กับ “การประเมินโพแทสเซียม” โดยตรงที่สุด?,ลดการเกิดภาวะแทรกซ้อนและเพิ่มความพร้อมก่อนเริ่ม RRT,ลด adverse drug event และการทำงานของไตแย่ลงจากยา,ลด unplanned dialysis start และเพิ่มความพร้อมด้านกาย–จิตสังคม,ลดความเสี่ยงภาวะโพแทสเซียมผิดปกติที่มีผลต่อหัวใจ,D,หลักสำคัญ: การจัดการโพแทสเซียมต้องดูผลเลือด ยาที่ใช้ อาหาร และอาการเตือนร่วมกัน ไม่ควรจำกัดแบบเหมารวมทุกคน การปฏิบัติที่สอดคล้อง: ทบทวน ACEI/ARB/ยาที่มีผลต่อโพแทสเซียมและสอนอาการเตือนที่ต้องมาพบแพทย์ เป้าหมาย: ลดความเสี่ยงภาวะโพแทสเซียมผิดปกติที่มีผลต่อหัวใจ,Self-Management CKD potassium section
Q043,U2,7,Medication Safety in CKD,ข้อใดอธิบาย “Medication Safety in CKD” ได้ถูกต้องที่สุด?,เป้าหมายสำคัญคือคัดกรอง/ส่งต่อ ชะลอไตเสื่อม ป้องกันภาวะแทรกซ้อน ลดความเสี่ยงหัวใจและหลอดเลือด และเตรียม RRT อย่างเหมาะสม,ความปลอดภัยด้านยาต้องทบทวนยาทั้งหมด รวม OTC ยาชุด สมุนไพร/อาหารเสริม และปรับขนาดยาตามการทำงานของไต,การเตรียม RRT เป็นกระบวนการก่อนเกิดวิกฤต ครอบคลุมข้อมูลทางเลือก การตัดสินใจ การเตรียม access/ส่งต่อปลูกถ่าย และการเตรียมครอบครัว,การคัดกรองต้องประเมินการทำงานของไตและความผิดปกติในปัสสาวะ และความเรื้อรังต้องอาศัยข้อมูลต่อเนื่อง,B,หลักสำคัญ: ความปลอดภัยด้านยาต้องทบทวนยาทั้งหมด รวม OTC ยาชุด สมุนไพร/อาหารเสริม และปรับขนาดยาตามการทำงานของไต การปฏิบัติที่สอดคล้อง: ถามยาที่ซื้อเองทุกครั้ง เน้นหลีกเลี่ยง nephrotoxin โดยเฉพาะ NSAIDs และประสานแพทย์/เภสัชกร เป้าหมาย: ลด adverse drug event และการทำงานของไตแย่ลงจากยา,Self-Management CKD medication section
Q044,U2,7,Medication Safety in CKD,การปฏิบัติใดสอดคล้องกับ “Medication Safety in CKD” มากที่สุด?,ถามยาที่ซื้อเองทุกครั้ง เน้นหลีกเลี่ยง nephrotoxin โดยเฉพาะ NSAIDs และประสานแพทย์/เภสัชกร,เริ่ม education และ shared planning ตั้งแต่ CKD ระยะก้าวหน้า ไม่รอ emergency start,วางแผนดูแลตามระยะโรคโดยไม่รอจนเกิดภาวะฉุกเฉินหรือมีข้อบ่งชี้ฟอกไตแล้ว,เมื่อพบความผิดปกติที่อาจเป็น CKD ให้ติดตาม/ตรวจซ้ำตามแนวทางเพื่อยืนยัน chronicity,A,หลักสำคัญ: ความปลอดภัยด้านยาต้องทบทวนยาทั้งหมด รวม OTC ยาชุด สมุนไพร/อาหารเสริม และปรับขนาดยาตามการทำงานของไต การปฏิบัติที่สอดคล้อง: ถามยาที่ซื้อเองทุกครั้ง เน้นหลีกเลี่ยง nephrotoxin โดยเฉพาะ NSAIDs และประสานแพทย์/เภสัชกร เป้าหมาย: ลด adverse drug event และการทำงานของไตแย่ลงจากยา,Self-Management CKD medication section
Q045,U2,7,Medication Safety in CKD,ผลลัพธ์หรือเป้าหมายใดสัมพันธ์กับ “Medication Safety in CKD” โดยตรงที่สุด?,ลด adverse drug event และการทำงานของไตแย่ลงจากยา,ลดการเกิดภาวะแทรกซ้อนและเพิ่มความพร้อมก่อนเริ่ม RRT,ลดการวินิจฉัยจากค่าผิดปกติครั้งเดียวและตรวจพบ CKD ได้เหมาะสม,ลด unplanned dialysis start และเพิ่มความพร้อมด้านกาย–จิตสังคม,A,หลักสำคัญ: ความปลอดภัยด้านยาต้องทบทวนยาทั้งหมด รวม OTC ยาชุด สมุนไพร/อาหารเสริม และปรับขนาดยาตามการทำงานของไต การปฏิบัติที่สอดคล้อง: ถามยาที่ซื้อเองทุกครั้ง เน้นหลีกเลี่ยง nephrotoxin โดยเฉพาะ NSAIDs และประสานแพทย์/เภสัชกร เป้าหมาย: ลด adverse drug event และการทำงานของไตแย่ลงจากยา,Self-Management CKD medication section
Q046,U2,8,การเตรียมความพร้อมสู่ RRT,ข้อใดอธิบาย “การเตรียมความพร้อมสู่ RRT” ได้ถูกต้องที่สุด?,การเตรียม RRT เป็นกระบวนการก่อนเกิดวิกฤต ครอบคลุมข้อมูลทางเลือก การตัดสินใจ การเตรียม access/ส่งต่อปลูกถ่าย และการเตรียมครอบครัว,การคัดกรองต้องประเมินการทำงานของไตและความผิดปกติในปัสสาวะ และความเรื้อรังต้องอาศัยข้อมูลต่อเนื่อง,การจำกัดโปรตีนต้องทำร่วมกับการได้รับพลังงานเพียงพอ มิฉะนั้นเสี่ยงสลายโปรตีนในร่างกายและทุพโภชนาการ,เป้าหมายสำคัญคือคัดกรอง/ส่งต่อ ชะลอไตเสื่อม ป้องกันภาวะแทรกซ้อน ลดความเสี่ยงหัวใจและหลอดเลือด และเตรียม RRT อย่างเหมาะสม,A,หลักสำคัญ: การเตรียม RRT เป็นกระบวนการก่อนเกิดวิกฤต ครอบคลุมข้อมูลทางเลือก การตัดสินใจ การเตรียม access/ส่งต่อปลูกถ่าย และการเตรียมครอบครัว การปฏิบัติที่สอดคล้อง: เริ่ม education และ shared planning ตั้งแต่ CKD ระยะก้าวหน้า ไม่รอ emergency start เป้าหมาย: ลด unplanned dialysis start และเพิ่มความพร้อมด้านกาย–จิตสังคม,การดูแล CKD ระยะก่อน RRT ข้อแนะนำ 17
Q047,U2,8,การเตรียมความพร้อมสู่ RRT,การปฏิบัติใดสอดคล้องกับ “การเตรียมความพร้อมสู่ RRT” มากที่สุด?,เมื่อพบความผิดปกติที่อาจเป็น CKD ให้ติดตาม/ตรวจซ้ำตามแนวทางเพื่อยืนยัน chronicity,ประเมิน intake น้ำหนัก แนวโน้มมวลกล้ามเนื้อ และส่งต่อผู้เชี่ยวชาญด้านโภชนาการเมื่อจำเป็น,วางแผนดูแลตามระยะโรคโดยไม่รอจนเกิดภาวะฉุกเฉินหรือมีข้อบ่งชี้ฟอกไตแล้ว,เริ่ม education และ shared planning ตั้งแต่ CKD ระยะก้าวหน้า ไม่รอ emergency start,D,หลักสำคัญ: การเตรียม RRT เป็นกระบวนการก่อนเกิดวิกฤต ครอบคลุมข้อมูลทางเลือก การตัดสินใจ การเตรียม access/ส่งต่อปลูกถ่าย และการเตรียมครอบครัว การปฏิบัติที่สอดคล้อง: เริ่ม education และ shared planning ตั้งแต่ CKD ระยะก้าวหน้า ไม่รอ emergency start เป้าหมาย: ลด unplanned dialysis start และเพิ่มความพร้อมด้านกาย–จิตสังคม,การดูแล CKD ระยะก่อน RRT ข้อแนะนำ 17
Q048,U2,8,การเตรียมความพร้อมสู่ RRT,ผลลัพธ์หรือเป้าหมายใดสัมพันธ์กับ “การเตรียมความพร้อมสู่ RRT” โดยตรงที่สุด?,ชะลอไตเสื่อมโดยไม่เพิ่มความเสี่ยง protein-energy wasting,ลดการเกิดภาวะแทรกซ้อนและเพิ่มความพร้อมก่อนเริ่ม RRT,ลด unplanned dialysis start และเพิ่มความพร้อมด้านกาย–จิตสังคม,ลดการวินิจฉัยจากค่าผิดปกติครั้งเดียวและตรวจพบ CKD ได้เหมาะสม,C,หลักสำคัญ: การเตรียม RRT เป็นกระบวนการก่อนเกิดวิกฤต ครอบคลุมข้อมูลทางเลือก การตัดสินใจ การเตรียม access/ส่งต่อปลูกถ่าย และการเตรียมครอบครัว การปฏิบัติที่สอดคล้อง: เริ่ม education และ shared planning ตั้งแต่ CKD ระยะก้าวหน้า ไม่รอ emergency start เป้าหมาย: ลด unplanned dialysis start และเพิ่มความพร้อมด้านกาย–จิตสังคม,การดูแล CKD ระยะก่อน RRT ข้อแนะนำ 17
Q049,U3,1,Primary Nursing & Continuity,ข้อใดอธิบาย “Primary Nursing & Continuity” ได้ถูกต้องที่สุด?,"การประเมินของ Primary Nurse ต้องครอบคลุม Physical, Psychological, Social และ Rights/สิทธิการรักษา",เป้าหมายครอบคลุมการยกระดับคุณภาพชีวิต การดูแลเฉพาะบุคคล การป้องกันภาวะแทรกซ้อน คุณภาพการพยาบาล และความต่อเนื่อง,Primary Nursing เน้นความรับผิดชอบต่อผู้ป่วยที่ได้รับมอบหมายอย่างต่อเนื่อง ต่างจากการดูแลแบบเปลี่ยนผู้รับผิดชอบเป็นรอบ,"โครงสร้างงานแยกบทบาท Nurse Manager, Primary Nurse และ Associate Nurse โดย Primary Nurse เป็นเจ้าของแผนดูแลหลักของผู้ป่วย",C,หลักสำคัญ: Primary Nursing เน้นความรับผิดชอบต่อผู้ป่วยที่ได้รับมอบหมายอย่างต่อเนื่อง ต่างจากการดูแลแบบเปลี่ยนผู้รับผิดชอบเป็นรอบ การปฏิบัติที่สอดคล้อง: กำหนด Primary Nurse ให้ติดตามผู้ป่วยคนเดิมและเชื่อมข้อมูลข้ามครั้งการรักษา เป้าหมาย: เกิด Continuity of Care และความสัมพันธ์เชิงรักษาที่ต่อเนื่อง,Primary Nursing pp.1–2
Q050,U3,1,Primary Nursing & Continuity,การปฏิบัติใดสอดคล้องกับ “Primary Nursing & Continuity” มากที่สุด?,ใช้ข้อมูลผู้ป่วยรายบุคคลเพื่อจัดลำดับปัญหาและติดตามผลระยะยาว,กำหนด Primary Nurse ให้ติดตามผู้ป่วยคนเดิมและเชื่อมข้อมูลข้ามครั้งการรักษา,ประเมินอาการ ภาวะโภชนาการ ความเครียด/ซึมเศร้า การสนับสนุนทางสังคม และข้อจำกัดด้านสิทธิ/การเข้าถึง,Primary Nurse วางแผนและติดตาม ส่วน Associate Nurse ปฏิบัติตามแผนและส่งต่อข้อมูลเมื่อ Primary Nurse ไม่อยู่,B,หลักสำคัญ: Primary Nursing เน้นความรับผิดชอบต่อผู้ป่วยที่ได้รับมอบหมายอย่างต่อเนื่อง ต่างจากการดูแลแบบเปลี่ยนผู้รับผิดชอบเป็นรอบ การปฏิบัติที่สอดคล้อง: กำหนด Primary Nurse ให้ติดตามผู้ป่วยคนเดิมและเชื่อมข้อมูลข้ามครั้งการรักษา เป้าหมาย: เกิด Continuity of Care และความสัมพันธ์เชิงรักษาที่ต่อเนื่อง,Primary Nursing pp.1–2
Q051,U3,1,Primary Nursing & Continuity,ผลลัพธ์หรือเป้าหมายใดสัมพันธ์กับ “Primary Nursing & Continuity” โดยตรงที่สุด?,ความรับผิดชอบชัดเจนและลดข้อมูลตกหล่นระหว่างทีม,เกิด Continuity of Care และความสัมพันธ์เชิงรักษาที่ต่อเนื่อง,ผู้ป่วยได้รับการดูแลแบบ patient-centered และต่อเนื่อง,ได้แผนดูแลที่สอดคล้องกับปัญหาจริงทั้งด้านคลินิกและชีวิต,B,หลักสำคัญ: Primary Nursing เน้นความรับผิดชอบต่อผู้ป่วยที่ได้รับมอบหมายอย่างต่อเนื่อง ต่างจากการดูแลแบบเปลี่ยนผู้รับผิดชอบเป็นรอบ การปฏิบัติที่สอดคล้อง: กำหนด Primary Nurse ให้ติดตามผู้ป่วยคนเดิมและเชื่อมข้อมูลข้ามครั้งการรักษา เป้าหมาย: เกิด Continuity of Care และความสัมพันธ์เชิงรักษาที่ต่อเนื่อง,Primary Nursing pp.1–2
Q052,U3,2,เป้าหมายของ Primary Nurse,ข้อใดอธิบาย “เป้าหมายของ Primary Nurse” ได้ถูกต้องที่สุด?,"โครงสร้างงานแยกบทบาท Nurse Manager, Primary Nurse และ Associate Nurse โดย Primary Nurse เป็นเจ้าของแผนดูแลหลักของผู้ป่วย",เป้าหมายครอบคลุมการยกระดับคุณภาพชีวิต การดูแลเฉพาะบุคคล การป้องกันภาวะแทรกซ้อน คุณภาพการพยาบาล และความต่อเนื่อง,Care Plan ที่ดีเชื่อม Nursing problem → Goal → Intervention → Indicator โดยเป้าหมายต้องวัดผลได้,"การประเมินของ Primary Nurse ต้องครอบคลุม Physical, Psychological, Social และ Rights/สิทธิการรักษา",B,หลักสำคัญ: เป้าหมายครอบคลุมการยกระดับคุณภาพชีวิต การดูแลเฉพาะบุคคล การป้องกันภาวะแทรกซ้อน คุณภาพการพยาบาล และความต่อเนื่อง การปฏิบัติที่สอดคล้อง: ใช้ข้อมูลผู้ป่วยรายบุคคลเพื่อจัดลำดับปัญหาและติดตามผลระยะยาว เป้าหมาย: ผู้ป่วยได้รับการดูแลแบบ patient-centered และต่อเนื่อง,Primary Nursing p.5
Q053,U3,2,เป้าหมายของ Primary Nurse,การปฏิบัติใดสอดคล้องกับ “เป้าหมายของ Primary Nurse” มากที่สุด?,ประเมินอาการ ภาวะโภชนาการ ความเครียด/ซึมเศร้า การสนับสนุนทางสังคม และข้อจำกัดด้านสิทธิ/การเข้าถึง,Primary Nurse วางแผนและติดตาม ส่วน Associate Nurse ปฏิบัติตามแผนและส่งต่อข้อมูลเมื่อ Primary Nurse ไม่อยู่,ใช้ข้อมูลผู้ป่วยรายบุคคลเพื่อจัดลำดับปัญหาและติดตามผลระยะยาว,กำหนดปัญหาและตัวชี้วัดที่ติดตามได้ ไม่เขียนเป้าหมายกว้างโดยไม่มีเกณฑ์,C,หลักสำคัญ: เป้าหมายครอบคลุมการยกระดับคุณภาพชีวิต การดูแลเฉพาะบุคคล การป้องกันภาวะแทรกซ้อน คุณภาพการพยาบาล และความต่อเนื่อง การปฏิบัติที่สอดคล้อง: ใช้ข้อมูลผู้ป่วยรายบุคคลเพื่อจัดลำดับปัญหาและติดตามผลระยะยาว เป้าหมาย: ผู้ป่วยได้รับการดูแลแบบ patient-centered และต่อเนื่อง,Primary Nursing p.5
Q054,U3,2,เป้าหมายของ Primary Nurse,ผลลัพธ์หรือเป้าหมายใดสัมพันธ์กับ “เป้าหมายของ Primary Nurse” โดยตรงที่สุด?,ผู้ป่วยได้รับการดูแลแบบ patient-centered และต่อเนื่อง,ความรับผิดชอบชัดเจนและลดข้อมูลตกหล่นระหว่างทีม,ได้แผนดูแลที่สอดคล้องกับปัญหาจริงทั้งด้านคลินิกและชีวิต,ประเมินได้ว่าการพยาบาลทำให้ผลลัพธ์ดีขึ้นหรือไม่,A,หลักสำคัญ: เป้าหมายครอบคลุมการยกระดับคุณภาพชีวิต การดูแลเฉพาะบุคคล การป้องกันภาวะแทรกซ้อน คุณภาพการพยาบาล และความต่อเนื่อง การปฏิบัติที่สอดคล้อง: ใช้ข้อมูลผู้ป่วยรายบุคคลเพื่อจัดลำดับปัญหาและติดตามผลระยะยาว เป้าหมาย: ผู้ป่วยได้รับการดูแลแบบ patient-centered และต่อเนื่อง,Primary Nursing p.5
Q055,U3,3,Assignment of Care,ข้อใดอธิบาย “Assignment of Care” ได้ถูกต้องที่สุด?,Care Plan ที่ดีเชื่อม Nursing problem → Goal → Intervention → Indicator โดยเป้าหมายต้องวัดผลได้,"โครงสร้างงานแยกบทบาท Nurse Manager, Primary Nurse และ Associate Nurse โดย Primary Nurse เป็นเจ้าของแผนดูแลหลักของผู้ป่วย","การประเมินของ Primary Nurse ต้องครอบคลุม Physical, Psychological, Social และ Rights/สิทธิการรักษา","การดูแลหนึ่งรอบฟอกเลือดต้องเชื่อม Pre-dialysis assessment, Intra-dialysis surveillance และ Post-dialysis evaluation/continuity",B,"หลักสำคัญ: โครงสร้างงานแยกบทบาท Nurse Manager, Primary Nurse และ Associate Nurse โดย Primary Nurse เป็นเจ้าของแผนดูแลหลักของผู้ป่วย การปฏิบัติที่สอดคล้อง: Primary Nurse วางแผนและติดตาม ส่วน Associate Nurse ปฏิบัติตามแผนและส่งต่อข้อมูลเมื่อ Primary Nurse ไม่อยู่ เป้าหมาย: ความรับผิดชอบชัดเจนและลดข้อมูลตกหล่นระหว่างทีม",Primary Nursing pp.6–7
Q056,U3,3,Assignment of Care,การปฏิบัติใดสอดคล้องกับ “Assignment of Care” มากที่สุด?,ประเมินอาการ ภาวะโภชนาการ ความเครียด/ซึมเศร้า การสนับสนุนทางสังคม และข้อจำกัดด้านสิทธิ/การเข้าถึง,ก่อนฟอกประเมินผู้ป่วย/access/prescription ระหว่างฟอกเฝ้าระวังและตอบสนองทันที หลังฟอกประเมินผล ให้ความรู้ และบันทึก,Primary Nurse วางแผนและติดตาม ส่วน Associate Nurse ปฏิบัติตามแผนและส่งต่อข้อมูลเมื่อ Primary Nurse ไม่อยู่,กำหนดปัญหาและตัวชี้วัดที่ติดตามได้ ไม่เขียนเป้าหมายกว้างโดยไม่มีเกณฑ์,C,"หลักสำคัญ: โครงสร้างงานแยกบทบาท Nurse Manager, Primary Nurse และ Associate Nurse โดย Primary Nurse เป็นเจ้าของแผนดูแลหลักของผู้ป่วย การปฏิบัติที่สอดคล้อง: Primary Nurse วางแผนและติดตาม ส่วน Associate Nurse ปฏิบัติตามแผนและส่งต่อข้อมูลเมื่อ Primary Nurse ไม่อยู่ เป้าหมาย: ความรับผิดชอบชัดเจนและลดข้อมูลตกหล่นระหว่างทีม",Primary Nursing pp.6–7
Q057,U3,3,Assignment of Care,ผลลัพธ์หรือเป้าหมายใดสัมพันธ์กับ “Assignment of Care” โดยตรงที่สุด?,ประเมินได้ว่าการพยาบาลทำให้ผลลัพธ์ดีขึ้นหรือไม่,ได้แผนดูแลที่สอดคล้องกับปัญหาจริงทั้งด้านคลินิกและชีวิต,ความปลอดภัยและความต่อเนื่องตลอด treatment cycle,ความรับผิดชอบชัดเจนและลดข้อมูลตกหล่นระหว่างทีม,D,"หลักสำคัญ: โครงสร้างงานแยกบทบาท Nurse Manager, Primary Nurse และ Associate Nurse โดย Primary Nurse เป็นเจ้าของแผนดูแลหลักของผู้ป่วย การปฏิบัติที่สอดคล้อง: Primary Nurse วางแผนและติดตาม ส่วน Associate Nurse ปฏิบัติตามแผนและส่งต่อข้อมูลเมื่อ Primary Nurse ไม่อยู่ เป้าหมาย: ความรับผิดชอบชัดเจนและลดข้อมูลตกหล่นระหว่างทีม",Primary Nursing pp.6–7
Q058,U3,4,Comprehensive Assessment,ข้อใดอธิบาย “Comprehensive Assessment” ได้ถูกต้องที่สุด?,"การประเมินของ Primary Nurse ต้องครอบคลุม Physical, Psychological, Social และ Rights/สิทธิการรักษา",Care Plan ที่ดีเชื่อม Nursing problem → Goal → Intervention → Indicator โดยเป้าหมายต้องวัดผลได้,"ระบบประกันคุณภาพในหน่วยไตเทียมต้องครอบคลุม infection control, RO water standard, adequacy/indicators และ incident reporting","การดูแลหนึ่งรอบฟอกเลือดต้องเชื่อม Pre-dialysis assessment, Intra-dialysis surveillance และ Post-dialysis evaluation/continuity",A,"หลักสำคัญ: การประเมินของ Primary Nurse ต้องครอบคลุม Physical, Psychological, Social และ Rights/สิทธิการรักษา การปฏิบัติที่สอดคล้อง: ประเมินอาการ ภาวะโภชนาการ ความเครียด/ซึมเศร้า การสนับสนุนทางสังคม และข้อจำกัดด้านสิทธิ/การเข้าถึง เป้าหมาย: ได้แผนดูแลที่สอดคล้องกับปัญหาจริงทั้งด้านคลินิกและชีวิต",Primary Nursing p.8
Q059,U3,4,Comprehensive Assessment,การปฏิบัติใดสอดคล้องกับ “Comprehensive Assessment” มากที่สุด?,ประเมินอาการ ภาวะโภชนาการ ความเครียด/ซึมเศร้า การสนับสนุนทางสังคม และข้อจำกัดด้านสิทธิ/การเข้าถึง,ใช้ข้อมูลคุณภาพและเหตุการณ์ความเสี่ยงเพื่อแก้ระบบ ไม่ใช้เฉพาะตรวจเอกสาร,กำหนดปัญหาและตัวชี้วัดที่ติดตามได้ ไม่เขียนเป้าหมายกว้างโดยไม่มีเกณฑ์,ก่อนฟอกประเมินผู้ป่วย/access/prescription ระหว่างฟอกเฝ้าระวังและตอบสนองทันที หลังฟอกประเมินผล ให้ความรู้ และบันทึก,A,"หลักสำคัญ: การประเมินของ Primary Nurse ต้องครอบคลุม Physical, Psychological, Social และ Rights/สิทธิการรักษา การปฏิบัติที่สอดคล้อง: ประเมินอาการ ภาวะโภชนาการ ความเครียด/ซึมเศร้า การสนับสนุนทางสังคม และข้อจำกัดด้านสิทธิ/การเข้าถึง เป้าหมาย: ได้แผนดูแลที่สอดคล้องกับปัญหาจริงทั้งด้านคลินิกและชีวิต",Primary Nursing p.8
Q060,U3,4,Comprehensive Assessment,ผลลัพธ์หรือเป้าหมายใดสัมพันธ์กับ “Comprehensive Assessment” โดยตรงที่สุด?,ประเมินได้ว่าการพยาบาลทำให้ผลลัพธ์ดีขึ้นหรือไม่,ความปลอดภัยและความต่อเนื่องตลอด treatment cycle,ได้แผนดูแลที่สอดคล้องกับปัญหาจริงทั้งด้านคลินิกและชีวิต,ลดความเสี่ยงและทำให้การดูแลเป็นมาตรฐานสม่ำเสมอ,C,"หลักสำคัญ: การประเมินของ Primary Nurse ต้องครอบคลุม Physical, Psychological, Social และ Rights/สิทธิการรักษา การปฏิบัติที่สอดคล้อง: ประเมินอาการ ภาวะโภชนาการ ความเครียด/ซึมเศร้า การสนับสนุนทางสังคม และข้อจำกัดด้านสิทธิ/การเข้าถึง เป้าหมาย: ได้แผนดูแลที่สอดคล้องกับปัญหาจริงทั้งด้านคลินิกและชีวิต",Primary Nursing p.8
Q061,U3,5,Nursing Care Plan,ข้อใดอธิบาย “Nursing Care Plan” ได้ถูกต้องที่สุด?,"การดูแลหนึ่งรอบฟอกเลือดต้องเชื่อม Pre-dialysis assessment, Intra-dialysis surveillance และ Post-dialysis evaluation/continuity","ระบบประกันคุณภาพในหน่วยไตเทียมต้องครอบคลุม infection control, RO water standard, adequacy/indicators และ incident reporting",Care Plan ที่ดีเชื่อม Nursing problem → Goal → Intervention → Indicator โดยเป้าหมายต้องวัดผลได้,Primary Nursing เน้นความรับผิดชอบต่อผู้ป่วยที่ได้รับมอบหมายอย่างต่อเนื่อง ต่างจากการดูแลแบบเปลี่ยนผู้รับผิดชอบเป็นรอบ,C,หลักสำคัญ: Care Plan ที่ดีเชื่อม Nursing problem → Goal → Intervention → Indicator โดยเป้าหมายต้องวัดผลได้ การปฏิบัติที่สอดคล้อง: กำหนดปัญหาและตัวชี้วัดที่ติดตามได้ ไม่เขียนเป้าหมายกว้างโดยไม่มีเกณฑ์ เป้าหมาย: ประเมินได้ว่าการพยาบาลทำให้ผลลัพธ์ดีขึ้นหรือไม่,Primary Nursing p.9
Q062,U3,5,Nursing Care Plan,การปฏิบัติใดสอดคล้องกับ “Nursing Care Plan” มากที่สุด?,ใช้ข้อมูลคุณภาพและเหตุการณ์ความเสี่ยงเพื่อแก้ระบบ ไม่ใช้เฉพาะตรวจเอกสาร,ก่อนฟอกประเมินผู้ป่วย/access/prescription ระหว่างฟอกเฝ้าระวังและตอบสนองทันที หลังฟอกประเมินผล ให้ความรู้ และบันทึก,กำหนด Primary Nurse ให้ติดตามผู้ป่วยคนเดิมและเชื่อมข้อมูลข้ามครั้งการรักษา,กำหนดปัญหาและตัวชี้วัดที่ติดตามได้ ไม่เขียนเป้าหมายกว้างโดยไม่มีเกณฑ์,D,หลักสำคัญ: Care Plan ที่ดีเชื่อม Nursing problem → Goal → Intervention → Indicator โดยเป้าหมายต้องวัดผลได้ การปฏิบัติที่สอดคล้อง: กำหนดปัญหาและตัวชี้วัดที่ติดตามได้ ไม่เขียนเป้าหมายกว้างโดยไม่มีเกณฑ์ เป้าหมาย: ประเมินได้ว่าการพยาบาลทำให้ผลลัพธ์ดีขึ้นหรือไม่,Primary Nursing p.9
